latitude,longitude,dpc_type,onsite
33.9854459,-81.0280631,Pure DPC,No
34.9221213,-81.9825848,Pure DPC,No
39.0334551,-94.3755808,Pure DPC,No
35.4819862,-97.76861509999999,Pure DPC,No
40.289795,-74.8780628,Pure DPC,No
35.8549754,-77.0556144,Pure DPC,No
32.667334,-97.4217855,Pure DPC,No
39.00201,-94.35300699999999,Pure DPC,No
42.3056623,-83.68419659999999,Pure DPC,No
45.0048424,-122.7825886,Pure DPC,No
37.79415729999999,-122.422614,Pure DPC,No
28.5933483,-81.3667155,Pure DPC,No
41.0726697,-85.21882629999999,Pure DPC,No
39.351736,-94.766059,Pure DPC,No
42.2180427,-122.73753,Pure DPC,No
35.7725615,-86.91223839999999,Pure DPC,No
42.3818352,-87.96103049999999,Hybrid,No
42.2749618,-87.9531615,Pure DPC,No
33.4142246,-84.55923709999999,Pure DPC,No
38.8357914,-77.0981294,Pure DPC,No
42.2614843,-71.11077949999999,Pure DPC,No
42.4137292,-71.07812059999999,Pure DPC,No
32.2198658,-110.8084909,Pure DPC,No
33.4940398,-112.1275125,Pure DPC,No
33.5807811,-112.2006321,Pure DPC,No
47.6247704,-122.3077304,Hybrid,No
33.6275895,-112.0113666,Pure DPC,No
47.7395617,-122.3439376,Pure DPC,No
47.60011369999999,-122.301807,Pure DPC,No
47.4843692,-122.2159027,Pure DPC,No
39.696034,-104.9388397,Pure DPC,No
39.8450218,-105.0543009,Pure DPC,No
39.7435511,-105.0809953,Pure DPC,No
33.4162327,-111.6339446,Pure DPC,No
33.3943708,-111.7209891,Pure DPC,No
47.3122546,-122.3150896,Pure DPC,No
39.6973624,-104.8189052,Pure DPC,No
39.606778,-105.0898099,Pure DPC,No
43.7017047,-72.2903553,Hybrid,No
32.2494336,-110.9094177,Pure DPC,No
38.9854712,-94.35406429999999,Pure DPC,No
31.5182462,-97.2096136,Pure DPC,No
37.154782,-93.27716579999999,Pure DPC,No
39.7513027,-104.8898403,Pure DPC,No
35.3859926,-119.0228837,Pure DPC,No
45.7042247,-121.5258688,Hybrid,No
40.392827,-111.9179218,Hybrid,No
40.51945449999999,-111.9399062,Hybrid,No
40.4303408,-111.8501047,Hybrid,No
37.0542823,-94.4499683,Pure DPC,Yes
33.9926869,-81.2479958,Pure DPC,No
35.8872021,-86.38625329999999,Pure DPC,No
42.9392024,-73.65173539999999,Pure DPC,No
30.2957588,-97.8252651,Unknown/Other,No
47.5712599,-122.6164787,Hybrid,No
36.1473684,-98.9242082,Pure DPC,No
41.85242760000001,-72.6468187,Hybrid,No
35.7172242,-77.957998,Pure DPC,Yes
39.2852262,-84.3983334,Hybrid,No
46.7110236,-122.9972714,Pure DPC,No
47.73808390000001,-122.6427361,Pure DPC,No
47.797705,-122.5088821,Pure DPC,No
42.3256261,-83.08156029999999,Pure DPC,No
44.0470425,-123.0970634,Pure DPC,No
35.61807659999999,-97.47874680000001,Pure DPC,No
45.5295222,-122.6969282,Pure DPC,No
39.0690512,-108.5612974,Pure DPC,No
33.6926571,-117.7678205,Pure DPC,No
39.1063242,-104.8606486,Pure DPC,No
30.5296731,-97.80236579999999,Pure DPC,No
40.8129087,-96.6089811,Pure DPC,No
47.2070016,-122.464756,Hybrid,No
46.6182863,-120.5579481,Pure DPC,No
32.2716345,-80.868343,Pure DPC,No
26.3598436,-80.1033358,Pure DPC,No
33.188956,-117.328639,Pure DPC,No
47.6164682,-122.3411395,Pure DPC,No
35.1128285,-85.2654495,Pure DPC,No
32.8885871,-97.09560959999999,Pure DPC,No
43.5804195,-116.3540703,Pure DPC,No
43.5878192,-70.3462028,Hybrid,No
37.2257008,-80.41037390000001,Pure DPC,No
